Rank,Name,Symbol,Price,Market Cap,FDV,24h Change (%),7 Days Change (%),1h Change (%),Volume ($)
,AISignal,AISIG,$0.0004407,,,,,,4.313572596925e+23
,ICPanda DAO,PANDA,$0.0009739,,,0.6,2.138,-1.195,97391079522473.0
,1000BONK,1000BONK,$0.02122,,,4.1,-4.265,-2.263,1988435531767.0
,acmFinance,ACM,$0.2444,,,1.3,3.961,0.064,611010467434.0
,Game Tree,GTCOIN,$0.0004948,,,3.2,10.696,-0.15,494753399149.0
,Shen,SHEN,$0.3648,,,2.8,1.024,-0.521,364782071335.0
,Akashalife,AK1111,$0.2352,,,13.2,-18.637,0.963,235018123176.0
3,Tether,USDT,$0.9969,"$120,083,622,964",,0.2,-0.213,-0.251,120083622964.0
,SigUSD,SIGUSD,$0.9935,,,4.0,1.174,-0.033,99348823344.0
,Blombard,BLM,$0.9989,,,0.3,0.05,0.066,89902125530.0
,Zedxion USDZ,USDZ,$0.9978,,,0.4,-0.023,0.009,86754838791.0
,Global Trust Coin,GTC,$0.6805,,,2.1,2.276,-0.52,68052169987.0
1,Bitcoin,BTC,"$71,800.34","$1,419,873,929,580",1507807161000.0,0.1,7.994,-0.582,57395313658.0
,SeiWhale,SEI,$0.00005531,,,8.5,-17.787,-2.443,55424145661.0
6,USDC,USDC,$0.9962,"$34,779,517,076",,0.2,-0.274,-0.323,34700637076.0
,Joseon-Mun,JSM,$0.0124,,,0.1,0.368,-0.121,29767836199.0
7,XRP,XRP,$0.5208,"$52,132,641,745",,0.6,-1.067,-0.685,29621355531.0
2,Ethereum,ETH,"$2,683.63","$323,411,924,202",323411924202.0,2.1,4.774,-1.022,25712279290.0
,Meta Games Coin,MGC,$0.2475,,,1.5,5.064,-0.138,24749723136.0
9,Dogecoin,DOGE,$0.1655,"$24,328,921,051",,1.7,18.583,-2.232,24327774176.0
,1000TROLL,1000TROLL,$0.00001758,,,8.8,-3.433,-1.661,16974647453.0
,777,777,$0.02057,,,0.7,1.163,-1.044,16138157179.0
,Wrapped ADA,WADA,$0.353,,,1.1,-0.729,-0.432,15886849713.0
10,TRON,TRX,$0.1678,"$14,526,889,810",,1.5,4.962,-0.455,14526811667.0
,PulseLN,PLN,$0.01348,,,1.6,1.571,0.307,13476936421.0
12,Cardano,ADA,$0.3525,"$15,859,899,685",,1.4,-0.312,-0.698,12596728046.0
14,Shiba Inu,SHIB,$0.00001835,"$18,407,734,655",,2.3,3.387,-1.215,10847097496.0
,HEX (PulseChain),HEX,$0.01427,,,9.5,28.8,-0.974,8319726578.0
,PulseChain,PLS,$0.00004972,,,3.2,10.507,-0.286,6716203908.0
,Crypto Holding Frank,CHFT,$0.06401,,,0.5,0.101,-0.123,6400826685.0
,BitDAO,BIT,$0.6235,,,4.8,-6.133,-0.014,5983454803.0
22,USDS,USDS,$0.9975,"$5,555,565,620",,0.2,0.358,0.493,5555565620.0
,Adonis,ADON,$0.5171,,,3.4,-36.793,0.13,5170730440.0
,Dotblox,DTBX,$0.04689,,,0.4,1.826,-0.149,4689103082.0
5,Solana,SOL,$173.48,"$81,747,608,729",102108568653.0,3.2,3.485,-1.526,4303368066.0
,PulseX,PLSX,$0.00002844,,,3.7,16.919,-0.847,4065748673.0
29,Pepe,PEPE,"$1,696,760,832","$4,039,720,595",,0.1,-2.33,-3.929,4039720595.0
,ZChains,ZCD,$0.2479,,,2.8,0.002,0.033,3718512398.0
,Circular Protocol,CIRX,$0.003669,,,2.2,-0.602,-0.037,3668568802.0
,Binance Bridged USDT (BNB Smart Chain),BSC-USD,$0.9998,,,0.3,-0.264,0.036,3573425577.0
,FOGnet,FOG,$0.3489,,,2.1,24.542,-0.187,3486671954.0
33,Dai,DAI,$0.9962,"$3,286,746,672",,0.3,-0.163,-0.376,3286746672.0
,Crypto SDG,SDG,$0.0007301,,,0.1,0.062,0.029,2949618579.0
36,Stellar,XLM,$0.09484,"$4,745,127,823",,0.9,0.853,-1.002,2822857076.0
,SCARCITY,SCARCITY,$0.2775,,,4.3,-8.408,-0.791,2786701473.0
,Arbitrum Bridged USDT (Arbitrum),USDT,$0.9985,,,0.0,-0.085,-0.258,2714825944.0
38,Ethena USDe,USDE,$0.9983,"$2,700,969,829",,0.2,-0.195,-0.421,2700969829.0
40,Kaspa,KAS,$0.1063,"$2,680,414,747",,6.6,-18.402,-2.583,2679150800.0
,Chronicles of Warcraft,COW,$0.2592,,,0.0,0.947,-0.006,2592045343.0
41,POL (ex-MATIC),POL,$0.3325,"$3,422,567,543",,0.0,-6.949,-0.763,2554751248.0
43,First Digital USD,FDUSD,$0.9914,"$2,526,903,823",,0.7,-0.326,-0.796,2526903823.0
,Cronos zkEVM Bridged CRO (Cronos zkEVM),CRO,$0.07599,,,0.3,0.454,-0.849,2279650861.0
47,Arbitrum,ARB,$0.5595,"$5,596,034,023",,3.9,-0.262,-0.61,2224652435.0
50,Cronos,CRO,$0.07575,"$2,273,194,839",,0.6,-0.162,-1.278,2051352333.0
51,Mantle,MNT,$0.601,"$3,737,426,748",,0.4,1.939,-1.28,2023264720.0
54,Fantom,FTM,$0.6912,"$2,196,129,426",,2.8,0.551,-1.373,1939258255.0
57,Hedera,HBAR,$0.04828,"$2,418,685,608",,1.8,-6.067,-1.521,1822718010.0
58,VeChain,VET,$0.02225,"$1,914,795,058",,0.4,-1.437,-0.605,1803450397.0
,Smart Energy Pay,SEP,$0.003495,,,0.5,14.15,1.854,1747682076.0
,Zircuit,ZRC,$0.1717,,,0.6,-3.131,-0.683,1717233502.0
,Fast And AI,FASTAI,$0.001702,,,4.4,-28.261,0.402,1701789752.0
,Infinity Exchange,IEX,$0.8272,,,7.5,2.251,1.709,1654436898.0
23,Sui,SUI,$1.99,"$5,496,426,570",19886910385.0,0.6,4.016,-2.363,1548809156.0
,Metacraft,MCT,$0.9356,,,1.3,2.396,0.125,1536204032.0
,Banque Universal,CBU,$0.1531,,,2.4,4.795,-0.626,1531089605.0
63,Sei,SEI,$0.4072,"$4,078,535,038",,3.6,-2.544,-2.17,1529337347.0
